Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,broad-scale_environmental_context,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,sample_name,scientific_name,SRA Study,Submitter_Id
ERR15204925,WGS,267,6008860794,PRJEB91891,SAMEA118675435,hospital [ENVO:00002173],2737032838,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610634,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:29:00Z,1,SAMEA118675435,AS_7979_108,human feces metagenome,ERP174821,AS_7979_108
ERR15204926,WGS,267,4987700357,PRJEB91891,SAMEA118675436,hospital [ENVO:00002173],2265560578,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2020,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610635,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-30T14:57:00Z,1,SAMEA118675436,AS_7979_109,human feces metagenome,ERP174821,AS_7979_109
ERR15204929,WGS,267,5938030699,PRJEB91891,SAMEA118675333,hospital [ENVO:00002173],2699544781,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610638,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:56:00Z,1,SAMEA118675333,AS_7979_10,human feces metagenome,ERP174821,AS_7979_10
ERR15204930,WGS,267,5049212547,PRJEB91891,SAMEA118675334,hospital [ENVO:00002173],2303359930,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610639,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:58:00Z,1,SAMEA118675334,AS_7979_11,human feces metagenome,ERP174821,AS_7979_11
ERR15204932,WGS,268,4361037853,PRJEB91891,SAMEA118675335,hospital [ENVO:00002173],1903350909,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610641,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T06:19:00Z,1,SAMEA118675335,AS_7979_12,human feces metagenome,ERP174821,AS_7979_12
ERR15204933,WGS,268,6023098963,PRJEB91891,SAMEA118675336,hospital [ENVO:00002173],2689689270,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610642,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T23:44:00Z,1,SAMEA118675336,AS_7979_13,human feces metagenome,ERP174821,AS_7979_13
ERR15204935,WGS,268,6119256736,PRJEB91891,SAMEA118675337,hospital [ENVO:00002173],2657967573,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610644,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T20:01:00Z,1,SAMEA118675337,AS_7979_14,human feces metagenome,ERP174821,AS_7979_14
ERR15204936,WGS,268,4188369805,PRJEB91891,SAMEA118675338,hospital [ENVO:00002173],1867192177,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610645,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-28T06:18:00Z,1,SAMEA118675338,AS_7979_15,human feces metagenome,ERP174821,AS_7979_15
ERR15204938,WGS,268,5610123460,PRJEB91891,SAMEA118675339,hospital [ENVO:00002173],2532089870,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610647,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T21:57:00Z,1,SAMEA118675339,AS_7979_16,human feces metagenome,ERP174821,AS_7979_16
ERR15204940,WGS,268,4759287334,PRJEB91891,SAMEA118675340,hospital [ENVO:00002173],2107773838,LEIBNIZ INSTITUTE FOR IMMUNOTHERAPY,2015,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2025-07-25,2025-07-25,2025-07-25,4,4,fecal material [ENVO:00002003],ERX14610649,Austria,Europe,Austria,47.07,15.45,LIT,public,Illumina NovaSeq X,PAIRED,unspecified,METAGENOMIC,fecal environment [ENVO:01001029],human feces metagenome,ILLUMINA,Metagenome_allo-SCT_FMT,2025-07-27T00:00:00Z,2025-07-27T17:30:00Z,1,SAMEA118675340,AS_7979_17,human feces metagenome,ERP174821,AS_7979_17
