Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR33580559,AMPLICON,501,18365280,PRJNA1263152,SAMN48512870,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12871207,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810393,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.70 E,AD18PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD18PRE,SRP585526
SRR33580560,AMPLICON,501,15840592,PRJNA1263152,SAMN48512869,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10800680,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810392,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.69 E,AD17TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD17TAKE,SRP585526
SRR33580561,AMPLICON,501,19327625,PRJNA1263152,SAMN48512868,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13387984,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810391,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.68 E,AD17PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD17PRE,SRP585526
SRR33580562,AMPLICON,501,172949484,PRJNA1263152,SAMN48512867,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",119737177,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810390,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.67 E,AD16TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD16TAKE,SRP585526
SRR33580563,AMPLICON,501,13434513,PRJNA1263152,SAMN48512866,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9218641,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810389,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.66 E,AD16PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD16PRE,SRP585526
SRR33580564,AMPLICON,501,13156867,PRJNA1263152,SAMN48512839,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9014142,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810388,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.39 E,AD02TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD02TAKE,SRP585526
SRR33580565,AMPLICON,499,23420572,PRJNA1263152,SAMN48512865,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16337715,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810387,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.65 E,AD15TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD15TAKE,SRP585526
SRR33580566,AMPLICON,501,16445560,PRJNA1263152,SAMN48512864,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11411174,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810386,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.64 E,AD15PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD15PRE,SRP585526
SRR33580567,AMPLICON,501,15139642,PRJNA1263152,SAMN48512863,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10576545,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810385,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.63 E,AD14TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD14TAKE,SRP585526
SRR33580568,AMPLICON,501,21830471,PRJNA1263152,SAMN48512862,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15175808,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810384,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.62 E,AD14PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD14PRE,SRP585526
