Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isol_growth_condt,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR33580512,AMPLICON,489,8697929,PRJNA1263152,SAMN48512845,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6165997,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810440,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.45 E,AD05TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD05TAKE,SRP585526
SRR33580513,AMPLICON,501,19545972,PRJNA1263152,SAMN48512844,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13540935,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810439,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.44 E,AD05PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD05PRE,SRP585526
SRR33580514,AMPLICON,501,13473106,PRJNA1263152,SAMN48512911,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9392785,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810438,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.111 E,AD38TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD38TAKE,SRP585526
SRR33580515,AMPLICON,501,23206265,PRJNA1263152,SAMN48512910,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16322519,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810437,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.110 E,AD38PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD38PRE,SRP585526
SRR33580516,AMPLICON,501,15595878,PRJNA1263152,SAMN48512909,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10950266,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810436,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.109 E,AD37TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD37TAKE,SRP585526
SRR33580517,AMPLICON,501,16155270,PRJNA1263152,SAMN48512908,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11181067,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810435,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.108 E,AD37PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD37PRE,SRP585526
SRR33580518,AMPLICON,501,17160247,PRJNA1263152,SAMN48512907,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11795897,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810434,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.107 E,AD36TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD36TAKE,SRP585526
SRR33580519,AMPLICON,501,20905117,PRJNA1263152,SAMN48512906,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14529600,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810433,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.106 E,AD36PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD36PRE,SRP585526
SRR33580520,AMPLICON,501,12878067,PRJNA1263152,SAMN48512843,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8926575,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810432,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.43 E,AD04TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD04TAKE,SRP585526
SRR33580521,AMPLICON,501,13939361,PRJNA1263152,SAMN48512905,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9651980,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810431,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.105 E,AD35TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD35TAKE,SRP585526
SRR33580522,AMPLICON,501,17635967,PRJNA1263152,SAMN48512904,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12216759,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810430,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.104 E,AD35PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD35PRE,SRP585526
SRR33580523,AMPLICON,501,16903870,PRJNA1263152,SAMN48512903,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11838963,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810429,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.103 E,AD34TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD34TAKE,SRP585526
SRR33580524,AMPLICON,501,17421489,PRJNA1263152,SAMN48512902,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12062566,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810428,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.102 E,AD34PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD34PRE,SRP585526
SRR33580525,AMPLICON,501,25326377,PRJNA1263152,SAMN48512901,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17295519,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810427,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.101 E,AD33TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD33TAKE,SRP585526
SRR33580526,AMPLICON,501,14499041,PRJNA1263152,SAMN48512900,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10106716,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810426,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.100 E,AD33PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD33PRE,SRP585526
SRR33580527,AMPLICON,501,14583067,PRJNA1263152,SAMN48512899,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10013237,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810425,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.99 E,AD32TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD32TAKE,SRP585526
SRR33580528,AMPLICON,501,15381356,PRJNA1263152,SAMN48512898,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10714220,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810424,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.98 E,AD32PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD32PRE,SRP585526
SRR33580529,AMPLICON,501,20896853,PRJNA1263152,SAMN48512897,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14235024,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810423,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.97 E,AD31TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD31TAKE,SRP585526
SRR33580530,AMPLICON,501,19826995,PRJNA1263152,SAMN48512896,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13795020,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810422,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.96 E,AD31PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD31PRE,SRP585526
SRR33580531,AMPLICON,501,7727311,PRJNA1263152,SAMN48512842,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",5400189,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810421,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.42 E,AD04PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD04PRE,SRP585526
SRR33580532,AMPLICON,501,22148971,PRJNA1263152,SAMN48512895,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15529868,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810420,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.95 E,AD30TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD30TAKE,SRP585526
SRR33580533,AMPLICON,501,21220623,PRJNA1263152,SAMN48512894,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14625933,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810419,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.94 E,AD30PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD30PRE,SRP585526
SRR33580534,AMPLICON,501,23777638,PRJNA1263152,SAMN48512893,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16640924,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810418,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.93 E,AD29TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD29TAKE,SRP585526
SRR33580535,AMPLICON,500,25422929,PRJNA1263152,SAMN48512892,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17781167,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810417,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.92 E,AD29PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD29PRE,SRP585526
SRR33580536,AMPLICON,499,18545261,PRJNA1263152,SAMN48512891,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13144203,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810416,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.91 E,AD28TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD28TAKE,SRP585526
SRR33580537,AMPLICON,501,22211317,PRJNA1263152,SAMN48512890,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15253044,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,fastq,run.zq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810415,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.90 E,AD28PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD28PRE,SRP585526
SRR33580538,AMPLICON,501,33837919,PRJNA1263152,SAMN48512889,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23699833,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810414,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.89 E,AD27TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD27TAKE,SRP585526
SRR33580539,AMPLICON,501,19724663,PRJNA1263152,SAMN48512888,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13595139,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810413,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.88 E,AD27PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD27PRE,SRP585526
SRR33580540,AMPLICON,501,16793012,PRJNA1263152,SAMN48512887,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11520458,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810412,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.87 E,AD26TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD26TAKE,SRP585526
SRR33580541,AMPLICON,501,22736799,PRJNA1263152,SAMN48512886,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15807232,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810411,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.86 E,AD26PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD26PRE,SRP585526
SRR33580542,AMPLICON,501,17552475,PRJNA1263152,SAMN48512841,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12115606,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810410,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.41 E,AD03TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD03TAKE,SRP585526
SRR33580543,AMPLICON,501,19419176,PRJNA1263152,SAMN48512885,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13513026,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810409,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.85 E,AD25TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD25TAKE,SRP585526
SRR33580544,AMPLICON,501,20618752,PRJNA1263152,SAMN48512884,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14363304,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810408,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.84 E,AD25PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD25PRE,SRP585526
SRR33580545,AMPLICON,501,24734119,PRJNA1263152,SAMN48512883,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17122524,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810407,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.83 E,AD24TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD24TAKE,SRP585526
SRR33580546,AMPLICON,501,23900719,PRJNA1263152,SAMN48512882,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16485523,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810406,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.82 E,AD24PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD24PRE,SRP585526
SRR33580547,AMPLICON,501,14159433,PRJNA1263152,SAMN48512881,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9745346,HUMAN MICROBIOMICS UNIT,Missing,public,TAKE,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Gut,Fecal sample,Not applicable,Not applicable,SRX28810405,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.81 E,AD23TAKE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:57:00Z,1,AD23TAKE,SRP585526
SRR33580548,AMPLICON,501,18508713,PRJNA1263152,SAMN48512880,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12907776,HUMAN MICROBIOMICS UNIT,Missing,public,PRE,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Gut,Fecal sample,Not applicable,Not applicable,SRX28810404,Italy,Europe,Italy: Bologna,Homo sapiens,Illumina MiSeq,37°C,44.49 N 11.80 E,AD23PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2025-05-15T00:00:00Z,2025-05-15T08:58:00Z,1,AD23PRE,SRP585526
