Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_label,Sample Name,SRA Study
SRR31961456,WGS,263,4055398938,PRJNA1209112,SAMN46207535,Metagenome or environmental,1150773570,RASHIDILAB,not applicable,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX27316895,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A009_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:32:00Z,1,A009_t0,zr16701_5,SRP556577
SRR31961457,WGS,252,3996922183,PRJNA1209112,SAMN46207534,Metagenome or environmental,1147569399,RASHIDILAB,not applicable,public,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316894,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A027_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:27:00Z,1,A027_t1,zr16701_49,SRP556577
SRR31961458,WGS,262,2156767073,PRJNA1209112,SAMN46207533,Metagenome or environmental,606381172,RASHIDILAB,not applicable,public,"fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316893,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A034_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:23:00Z,1,A034_t0,zr16701_47,SRP556577
SRR31961459,WGS,257,4118036973,PRJNA1209112,SAMN46207532,Metagenome or environmental,1159952079,RASHIDILAB,not applicable,public,"sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316892,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A030_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:32:00Z,1,A030_t1,zr16701_46,SRP556577
SRR31961460,WGS,253,3497081728,PRJNA1209112,SAMN46207531,Metagenome or environmental,999589468,RASHIDILAB,not applicable,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316891,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A033_t0,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:26:00Z,1,A033_t0,zr16701_45,SRP556577
SRR31961461,WGS,267,4124854380,PRJNA1209112,SAMN46207530,Metagenome or environmental,1164144452,RASHIDILAB,not applicable,public,"sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27316890,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A012_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:27:00Z,1,A012_t2,zr16701_44,SRP556577
SRR31961462,WGS,266,4654329006,PRJNA1209112,SAMN46207529,Metagenome or environmental,1320329175,RASHIDILAB,not applicable,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316889,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A024_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:29:00Z,1,A024_t1,zr16701_43,SRP556577
SRR31961463,WGS,252,2612384161,PRJNA1209112,SAMN46207484,Metagenome or environmental,833344262,RASHIDILAB,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316888,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A004_t1,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:25:00Z,1,A004_t1,zr15702_221,SRP556577
SRR31961464,WGS,261,4526506479,PRJNA1209112,SAMN46207528,Metagenome or environmental,1281167460,RASHIDILAB,not applicable,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX27316887,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A014_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:28:00Z,1,A014_t2,zr16701_42,SRP556577
SRR31961465,WGS,272,2441266725,PRJNA1209112,SAMN46207527,Metagenome or environmental,677297788,RASHIDILAB,not applicable,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX27316886,uncalculated,uncalculated,not applicable,Homo sapiens,Illumina NovaSeq 6000,not applicable,not applicable,A011_t2,SINGLE,PCR,GENOMIC,human metagenome,ILLUMINA,2025-01-11T00:00:00Z,2025-01-10T18:27:00Z,1,A011_t2,zr16701_41,SRP556577
