Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,hostid,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,SRA Study
SRR10572435,WGA,462,13468137,PRJNA592853,SAMN13441058,Metagenome or environmental,8467063,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253945,Italy,Europe,Italy:Bologna,Homo sapiens,BE7P30,Illumina MiSeq,human feces,human gut,missing,BE7P30,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE7P30,metagenomic assembly,SRP234378
SRR10572436,WGA,448,9431818,PRJNA592853,SAMN13441116,Metagenome or environmental,6296565,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX7253944,Italy,Europe,Italy:Bologna,Homo sapiens,BP8PRE,Illumina MiSeq,human feces,human gut,missing,BP8PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BP8PRE,metagenomic assembly,SRP234378
SRR10572474,WGA,445,9680822,PRJNA592853,SAMN13441045,Metagenome or environmental,6137808,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX7253906,Italy,Europe,Italy:Bologna,Homo sapiens,BE5P26,Illumina MiSeq,human feces,human gut,missing,BE5P26,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE5P26,metagenomic assembly,SRP234378
SRR10572475,WGA,446,5941873,PRJNA592853,SAMN13441044,Metagenome or environmental,3741131,UNIVERSITY OF BOLOGNA,not available,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253905,Italy,Europe,Italy:Bologna,Homo sapiens,BE4PRE,Illumina MiSeq,human feces,human gut,missing,BE4PRE,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4PRE,metagenomic assembly,SRP234378
SRR10572476,WGA,456,10128790,PRJNA592853,SAMN13441043,Metagenome or environmental,6725046,UNIVERSITY OF BOLOGNA,not available,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX7253904,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P47,Illumina MiSeq,human feces,human gut,missing,BE4P47,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P47,metagenomic assembly,SRP234378
SRR10572477,WGA,453,3649047,PRJNA592853,SAMN13441042,Metagenome or environmental,2434089,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX7253903,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P41,Illumina MiSeq,human feces,human gut,missing,BE4P41,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P41,metagenomic assembly,SRP234378
SRR10572478,WGA,455,2339114,PRJNA592853,SAMN13441041,Metagenome or environmental,1612171,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX7253902,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P32,Illumina MiSeq,human feces,human gut,missing,BE4P32,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P32,metagenomic assembly,SRP234378
SRR10572479,WGA,458,13414068,PRJNA592853,SAMN13441040,Metagenome or environmental,8533460,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX7253901,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P27,Illumina MiSeq,human feces,human gut,missing,BE4P27,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P27,metagenomic assembly,SRP234378
SRR10572480,WGA,463,13505016,PRJNA592853,SAMN13441039,Metagenome or environmental,8495523,UNIVERSITY OF BOLOGNA,not available,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX7253900,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P26,Illumina MiSeq,human feces,human gut,missing,BE4P26,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-05T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P26,metagenomic assembly,SRP234378
SRR10572481,WGA,447,10388051,PRJNA592853,SAMN13441038,Metagenome or environmental,6763653,UNIVERSITY OF BOLOGNA,not available,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX7253899,Italy,Europe,Italy:Bologna,Homo sapiens,BE4P24,Illumina MiSeq,human feces,human gut,missing,BE4P24,SINGLE,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-12-03T00:00:00Z,2019-12-02T17:03:00Z,1,BE4P24,metagenomic assembly,SRP234378
