Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,sample_id_unique,Sample Name,SRA Study,SampleID (run)
SRR15158086,AMPLICON,265,976656,PRJNA746305,SAMN14138924,Metagenome or environmental,598631,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465709,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1622E .. TR_N_15,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1622E,1622E,SRP328310,
SRR15158087,AMPLICON,262,2181520,PRJNA746305,SAMN14139137,Metagenome or environmental,1453421,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465708,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1757U .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1757U,1757U,SRP328310,
SRR15158088,AMPLICON,259,21850808,PRJNA746305,SAMN14139136,Metagenome or environmental,13191028,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465707,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1757T .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1757T,1757T,SRP328310,
SRR15158089,AMPLICON,266,17507056,PRJNA746305,SAMN14139135,Metagenome or environmental,10271656,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465706,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1757S .. Pool_TR_9_IGO_10293_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1757S,1757S,SRP328310,
SRR15158090,AMPLICON,263,3591313,PRJNA746305,SAMN14139128,Metagenome or environmental,2277414,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX11465705,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1751U .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1751U,1751U,SRP328310,
SRR15158091,AMPLICON,262,1545413,PRJNA746305,SAMN14139127,Metagenome or environmental,1082275,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX11465704,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1751T .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:08:00Z,1,1751T,1751T,SRP328310,
SRR15158092,AMPLICON,264,15276039,PRJNA746305,SAMN14139126,Metagenome or environmental,8493430,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX11465703,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1751S .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1751S,1751S,SRP328310,
SRR15158093,AMPLICON,260,21499360,PRJNA746305,SAMN14139125,Metagenome or environmental,9801501,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465702,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1751R .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1751R,1751R,SRP328310,
SRR15158094,AMPLICON,266,2115511,PRJNA746305,SAMN14139124,Metagenome or environmental,996063,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465701,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1751Q .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1751Q,1751Q,SRP328310,
SRR15158095,AMPLICON,265,16968002,PRJNA746305,SAMN14139108,Metagenome or environmental,11524341,MEMORIAL SLOAN KETTERING CANCER CENTER,NA,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX11465700,USA,North America,USA:New York,Illumina MiSeq,stool,40.7641 N 73.9568 W,1736C .. 101019,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2021-08-27T00:00:00Z,2021-07-16T01:09:00Z,1,1736C,1736C,SRP328310,
